age,monthly_income,department,experience_years,performance_score,satisfaction_index
29,55000.0,Engineering,4,4.2,0.82
31,62000.0,Engineering,6,4.8,0.91
34,47000.0,Sales,3,3.9,0.74
45,120000.0,Management,18,4.9,0.95
38,58500.0,HR,10,4.1,0.8
27,43000.0,Sales,2,3.6,0.69
34,51000.0,Marketing,5,4.0,0.72
34,58000.0,Engineering,8,4.1,0.88
52,250000.0,Management,25,5.0,0.99
41,71000.0,HR,12,4.1,0.77
36,64000.0,Marketing,9,4.3,0.805
33,59000.0,Sales,7,4.0,0.81
28,45000.0,Sales,3,3.7,0.72
39,67000.0,Engineering,11,4.4,0.86
26,42000.0,Sales,2,3.5,0.66
