age,monthly_income,department,experience_years,performance_score,satisfaction_index
29,55000,Engineering,4,4.2,0.82
31 years,62000 INR,Engineering,6,4.8,0.91
?,47000,Sales,3,3.9,0.74
45,120000,Management,18,4.9,0.95
38,not available,HR,10,4.1,0.80
27,43000,Sales,2,3.6,0.69
thirty,51000,Marketing,5 years,4.0,72%
34,58000,Engineering,8,excellent,0.88
29,55000,Engineering,4,4.2,0.82
52,250000,Management,25,5.0,0.99
41,71000,HR,12,,0.77
36,64000,Marketing,9,4.3,missing
33,59000,Sales,7,4.0,0.81
28,45000,Sales,3,3.7,0.72
39,67000,Engineering,11,4.4,0.86
26,42000,Sales,2,3.5,0.66
27,43000,Sales,2,3.6,0.69
31 years,62000 INR,Engineering,6,4.8,0.91
